 -111.35,  200.53, -943.72
  -80.57,   41.68, -921.42
   43.82, -279.26, -810.88
  181.47, -544.08, -613.72
  181.47, -544.08, -613.72
  251.84, -640.29, -502.96
  319.14, -650.88, -456.60
  660.42, -398.38, -459.35
  660.42, -398.38, -459.35
  888.15,  377.29, -138.72
  703.90,  684.83,   93.01
  306.16,  706.13, -536.29
  306.16,  706.13, -536.29
 -294.68,    7.71, -878.84
 -434.00, -652.12, -584.82
 -368.28, -880.27,  -86.62
 -368.28, -880.27,  -86.62
 -191.87, -924.06,   91.38
  422.09, -894.35,  -22.30
  957.48, -321.79,  166.94
  957.48, -321.79,  166.94
  967.45,   66.51,  402.12
  851.98,  347.22,  453.67
  669.54,  587.05,  476.69
  344.98,  822.98,  364.63
  344.98,  822.98,  364.63
  150.98,  821.18,  427.81
  291.74,  653.33,  587.61
  568.34,  316.86,  699.80
  568.34,  316.86,  699.80
  647.45,  -18.73,  742.01
  569.73, -281.11,  759.66
  295.93, -419.06,  835.32
  295.93, -419.06,  835.32
   84.98, -220.56,  918.44
   52.09,   24.53,  928.56
  -25.63,  262.96,  874.56
  -25.63,  262.96,  874.56
  395.24,  390.99,  811.16
  619.91,  258.62,  762.53
  723.77, -173.38,  727.30
  723.77, -173.38,  727.30
  702.34, -518.01,  572.73
  524.97, -788.85,  377.89
  248.61, -872.19,  403.91
  248.61, -872.19,  403.91
  -91.79, -904.50,  334.97
 -378.72, -898.79, -199.25
 -234.95, -467.17, -875.41
 -234.95, -467.17, -875.41
 -208.11,  316.00, -924.60
 -105.92,  744.05, -616.05
   61.30,  924.64,  -65.12
  233.80,  777.27,  447.49
  233.80,  777.27,  447.49
  376.29,  456.74,  726.01
  599.82,   60.20,  784.54
  621.16, -268.49,  774.56
  621.16, -268.49,  774.56
  477.71, -502.58,  763.28
  273.22, -541.28,  829.34
   14.12, -445.29,  910.39
   14.12, -445.29,  910.39
 -236.10, -378.32,  955.06
 -495.03, -401.54,  901.34
 -490.37, -229.31,  978.14
 -490.37, -229.31,  978.14
   -3.05,  348.41, 1055.28
   60.99,  670.81,  887.86
    3.05,  913.73,  605.74
    3.05,  913.73,  605.74
   77.85, 1158.70,  -61.83
  222.58,  810.80, -832.99
   93.85, -318.47,-1109.09
   93.85, -318.47,-1109.09
 -203.33, -930.15, -708.20
 -427.91,-1041.77,  -94.02
 -637.57, -856.18,   66.23
 -637.57, -856.18,   66.23
 -768.25, -659.56, -323.44
 -641.42, -707.78, -387.80
 -499.95, -850.24,  -84.93
 -258.95, -805.59,  439.09
 -258.95, -805.59,  439.09
 -119.76, -433.73,  802.37
  -71.15,  115.05,  892.52
 -270.35,  696.49,  567.55
 -270.35,  696.49,  567.55
 -614.36,  836.18,  237.20
 -622.15,  814.42,  329.70
 -316.81,  989.22,  376.65
 -316.81,  989.22,  376.65
    9.71, 1133.88,   84.44
  459.99,  936.16, -463.25
  794.77,  -86.05, -706.21
  794.77,  -86.05, -706.21
  279.87, -992.69, -302.17
 -402.10, -926.16,  -15.51
 -821.55, -505.89,  -99.79
 -821.55, -505.89,  -99.79
 -904.48, -301.84, -161.85
 -767.23, -530.76, -341.97
 -277.20, -649.44, -691.55
 -277.20, -649.44, -691.55
  -18.02, -103.06, -879.12
   42.78,  524.95, -667.36
  156.62,  789.36,  -99.32
  156.62,  789.36,  -99.32
  177.69,  662.25,  393.52
  169.49,  481.64,  548.56
  170.82,  319.90,  636.10
  177.28,  137.14,  688.89
  177.28,  137.14,  688.89
  174.73,  -68.92,  705.87
  234.30, -352.88,  602.68
  234.10, -612.55,  414.93
  234.10, -612.55,  414.93
  246.79, -723.60,  229.08
  294.73, -707.20,  250.30
  396.85, -514.19,  478.17
  396.85, -514.19,  478.17
